,C,Precision,Recall,Fscore
441,0.441,0.6679,0.591,0.6195
442,0.442,0.6673,0.5927,0.6204
443,0.443,0.6667,0.591,0.6191
444,0.444,0.6673,0.5927,0.6204
445,0.445,0.6679,0.5943,0.6217
446,0.446,0.6673,0.5927,0.6204
447,0.447,0.6679,0.5943,0.6217
448,0.448,0.6667,0.591,0.6191
449,0.449,0.6667,0.591,0.6191
450,0.45,0.6667,0.591,0.6191
451,0.451,0.666,0.5893,0.6178
452,0.452,0.666,0.5893,0.6178
453,0.453,0.666,0.5893,0.6178
454,0.454,0.6654,0.591,0.6187
455,0.455,0.6667,0.591,0.6191
456,0.456,0.6654,0.5943,0.6208
457,0.457,0.6654,0.5876,0.6164
458,0.458,0.666,0.5927,0.62
459,0.459,0.666,0.596,0.6222
460,0.46,0.6654,0.5943,0.6208
461,0.461,0.6642,0.5876,0.616
462,0.462,0.6648,0.5893,0.6173
463,0.463,0.6667,0.5876,0.6169
464,0.464,0.6667,0.5876,0.6169
465,0.465,0.6642,0.5876,0.616
466,0.466,0.6648,0.5893,0.6173
467,0.467,0.6642,0.5876,0.616
468,0.468,0.6654,0.591,0.6187
469,0.469,0.6648,0.5893,0.6173
470,0.47,0.6648,0.5893,0.6173
471,0.471,0.6648,0.5893,0.6173
472,0.472,0.6642,0.5876,0.616
473,0.473,0.6635,0.5893,0.6169
474,0.474,0.6648,0.5893,0.6173
475,0.475,0.6642,0.5876,0.616
476,0.476,0.6648,0.5893,0.6173
477,0.477,0.6617,0.5943,0.6195
478,0.478,0.6617,0.5977,0.6218
479,0.479,0.6642,0.591,0.6183
480,0.48,0.6629,0.5876,0.6156
481,0.481,0.6629,0.5876,0.6156
482,0.482,0.6629,0.5876,0.6156
483,0.483,0.6617,0.5876,0.6152
484,0.484,0.6623,0.5893,0.6165
485,0.485,0.6629,0.591,0.6178
486,0.486,0.6629,0.5843,0.6134
487,0.487,0.6629,0.591,0.6178
488,0.488,0.6617,0.5876,0.6152
489,0.489,0.6629,0.5843,0.6134
490,0.49,0.6629,0.5876,0.6156
491,0.491,0.6629,0.5876,0.6156
492,0.492,0.6623,0.5893,0.6165
493,0.493,0.6599,0.5927,0.6179
494,0.494,0.6611,0.5927,0.6183
495,0.495,0.6605,0.5943,0.6191
496,0.496,0.6616,0.5843,0.6129
497,0.497,0.6635,0.586,0.6147
498,0.498,0.6629,0.5843,0.6134
499,0.499,0.6635,0.586,0.6147
