,C,Precision,Recall,Fscore
478,0.478,0.815,0.7429,0.7702
479,0.479,0.815,0.7429,0.7702
480,0.48,0.815,0.7429,0.7702
481,0.481,0.8147,0.7412,0.7689
482,0.482,0.8147,0.7412,0.7689
483,0.483,0.8147,0.7412,0.7689
484,0.484,0.8147,0.7412,0.7689
485,0.485,0.8147,0.7412,0.7689
486,0.486,0.8147,0.7412,0.7689
487,0.487,0.8147,0.7412,0.7689
488,0.488,0.8147,0.7412,0.7689
489,0.489,0.8147,0.7412,0.7689
490,0.49,0.8162,0.7412,0.7695
491,0.491,0.8177,0.7412,0.77
492,0.492,0.8177,0.7412,0.77
493,0.493,0.8192,0.7412,0.7705
494,0.494,0.8192,0.7412,0.7705
495,0.495,0.8192,0.7412,0.7705
496,0.496,0.8192,0.7412,0.7705
497,0.497,0.8192,0.7412,0.7705
498,0.498,0.8192,0.7412,0.7705
499,0.499,0.8192,0.7412,0.7705
