,C,Precision,Recall,Fscore
464,46.4,0.6301,0.7963,0.7203
465,46.5,0.6301,0.7963,0.7203
466,46.6,0.6301,0.7963,0.7203
467,46.7,0.6301,0.7963,0.7203
468,46.8,0.6293,0.7963,0.7199
469,46.9,0.6298,0.798,0.721
470,47.0,0.6281,0.798,0.7201
471,47.1,0.6289,0.798,0.7205
472,47.2,0.6281,0.798,0.7201
473,47.3,0.6281,0.798,0.7201
474,47.4,0.6281,0.798,0.7201
475,47.5,0.6273,0.798,0.7197
476,47.6,0.6273,0.798,0.7197
477,47.7,0.6281,0.798,0.7201
478,47.8,0.6273,0.798,0.7197
479,47.9,0.6265,0.798,0.7192
480,48.0,0.626,0.7963,0.7182
481,48.1,0.6252,0.7963,0.7177
482,48.2,0.6252,0.7963,0.7177
483,48.3,0.6252,0.7963,0.7177
484,48.4,0.6252,0.7963,0.7177
485,48.5,0.6252,0.7963,0.7177
486,48.6,0.6252,0.7963,0.7177
487,48.7,0.6243,0.7963,0.7173
488,48.8,0.6243,0.7963,0.7173
489,48.9,0.6248,0.798,0.7183
490,49.0,0.6248,0.798,0.7183
491,49.1,0.6248,0.798,0.7183
492,49.2,0.6248,0.798,0.7183
493,49.3,0.624,0.798,0.7179
494,49.4,0.6232,0.798,0.7175
495,49.5,0.6232,0.798,0.7175
496,49.6,0.6232,0.798,0.7175
497,49.7,0.6224,0.798,0.7171
498,49.8,0.6224,0.798,0.7171
499,49.9,0.6216,0.798,0.7167
